Código Produto,Nome Produto,Marca,Modelo,Esférico,Cilíndrico,Eixo
426898,LENTES CNT ACUVUE OASYS AST -5.25 -1.75/10(8.6),ACUVUE,OASYS AST,-5.25,-1.75,10
178237,LENTES CNT ACUVUE OASYS AST -4.75 -0.75/180(8.6),ACUVUE,OASYS AST,-4.75,-0.75,180
551935,LENTES CNT 1-D OASYS -2.25 8.5,ACUVUE,OASYS 1 DAY,-2.25,,
551940,LENTES CNT 1-D OASYS -3.50 8.5,ACUVUE,OASYS 1 DAY,-3.50,,
166188,LENTES CNT ACUVUE OASYS AST -3.25 -1.25/10(8.6),ACUVUE,OASYS AST,-3.25,-1.25,10
217393,LENTES CNT ACUVUE OASYS AST -3.00 -1.75/170(8.6),ACUVUE,OASYS AST,-3.00,-1.75,170
89222,"LENTES CNT ACUVUE 2 +8,00",ACUVUE,2,"+8,00",,
340188,LENTES CNT ACUVUE OASYS AST -6.00 -0.75/10(8.6),ACUVUE,OASYS AST,-6.00,-0.75,10
390274,LENTES CNT ACUVUE OASYS AST -6.00 -1.25/170(8.6),ACUVUE,OASYS AST,-6.00,-1.25,170
178140,LENTES CNT ACUVUE OASYS AST -3.00 -1.75/180(8.6),ACUVUE,OASYS AST,-3.00,-1.75,180
178140,LENTES CNT ACUVUE OASYS AST -3.00 -1.75/180(8.6),ACUVUE,OASYS AST,-3.00,-1.75,180
